DayCount,TS,TimeStep,1,2,Living,Kitchen,Laundry,Bathroom,ElecFood,ElecVaccuum,ElecIron,ElecDishes,ElecLaundry,ElecPC,ElecTV,ElecMusic,ElecBath,ElecStandby,ElecFridge,ElecLights,Bath,Dishes,Food,Laundry
2,371,06:10,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
2,381,06:20,11,11,91,91,0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,0
2,391,06:30,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
2,401,06:40,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,411,06:50,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,421,07:00,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
2,431,07:10,11,11,91,91,0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,0
2,441,07:20,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
2,451,07:30,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,461,07:40,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,471,07:50,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
2,481,08:00,11,11,91,91,0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,0
2,491,08:10,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
2,501,08:20,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,511,08:30,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,521,08:40,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
2,531,08:50,11,11,91,91,0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,0
2,541,09:00,4,11,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,0,0,0,0
2,551,09:10,4,11,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
2,561,09:20,4,11,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
2,571,09:30,4,11,68.6,68.6,0,0,0,0,0,0,0,0,0,0,0,6,53,9.6,0,0,0,0
2,581,09:40,8,11,100.6,100.6,0,0,0,0,0,0,0,0,0,0,0,6,85,9.6,752.3333,0,0,0
2,591,09:50,4,11,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,0,0,0,0
